,title,salary_standardized,location,habilidades
0,Data Analyst,122000.0, Anywhere ,"('python', 'sql', 'tableau')"
3,Data Analyst - Consumer Goods - Contract to Hire,41600.0, Anywhere ,"('powerbi', 'excel')"
4,Data Analyst | Workforce Management,100000.0,  United States   ,"('excel',)"
10,Senior Data Analyst,119100.80000000002, Anywhere ,"('sql',)"
14,Mid-level Claims Data Analyst,110000.0,  United States   ,"('sql', 'excel')"
49,Production Support Data Analyst (Open),122500.0,  United States   ,"('sql',)"
65,Business Intelligence Analyst IV,130000.0, Anywhere ,"('sql', 'tableau')"
72,Business Intelligence Analyst,55000.0,"  Oklahoma City, OK   ","('python', 'sql', 'excel', 'tableau')"
96,Analyst/Developer - General 2 17002-1,102440.0,  United States   ,"('sql', 'powerbi')"
105,Marketing Data Analyst,70000.0,"  Oklahoma City, OK   ","('sql',)"
108,Data Analyst II,125000.0,"  Norman, OK   ","('sql', 'powerbi')"
114,Business Data Analyst,96500.0, Anywhere ,"('sql',)"
129,(USA) Senior Data Analyst - Data Triage,100000.0,"  Bentonville, AR   ","('python', 'sql', 'powerbi', 'tableau')"
138,CRM Analyst,77500.0,  United States   ,"('powerbi', 'excel')"
140,Data analyst-pharmaceutical,88400.0, Anywhere ,"('python', 'r', 'machine_learning')"
155,Data Analyst,31200.0,"  Joplin, MO   ","('sql', 'excel')"
183,Data Labelling Analyst - Written Content,40560.0, Anywhere ,"('excel',)"
185,Manager - Data Analytics,130000.0,  United States   ,"('sql', 'excel')"
188,Data Scientist,156000.0, Anywhere ,"('python', 'sql', 'powerbi', 'excel', 'machine_learning', 'aws')"
193,Data Scientist,145000.0, Anywhere ,"('python',)"
201,Digital Analyst (Freelance),114400.0, Anywhere ,"('powerbi',)"
238,Data Scientist - Contract to hire,119600.0, Anywhere ,"('python', 'powerbi', 'excel', 'tableau', 'machine_learning')"
244,"Data Analyst Report Writer (Level 2) _ Austin, TX/Remote (Prefers...",94640.0, Anywhere ,"('sql', 'tableau')"
307,IT Analyst / System Analyst - Contract to Hire,119600.0, Anywhere ,"('sql',)"
321,Bioinformatics Analyst (NGS/OMICS/SQL/Curation/R Programing),86320.0, Anywhere ,"('python', 'sql', 'r')"
348,Remote Data Scientist,109200.0, Anywhere ,"('python', 'powerbi', 'azure', 'machine_learning')"
399,Financial Data Guru (SQL/Excel),100000.0,  United States   ,"('sql', 'excel')"
462,"Intern, Data Analyst",52000.0,Anywhere,"('sql', 'powerbi', 'excel')"
464,Data Analyst with Mongo DB,106111.2,"Denver, CO","('python', 'sql')"
467,Data Analyst III,153000.0,"Denver, CO (+1 other)","('sql', 'excel', 'tableau')"
470,Data Analyst,60100.0,"Gunnison, CO","('sql',)"
520,HIM Data Analyst - Full-time / Part-time,52634.4,"  Kansas City, MO   ","('excel',)"
528,Data Analyst/AWS Data Analyst,176800.0,  United States   ,"('python', 'sql', 'aws')"
536,"Associate Analyst, Associate Analytics Developer",73600.8,  United States   ,"('sql', 'powerbi', 'tableau')"
539,"Senior Data Scientist, Product Analytics",164000.0,  United States   ,"('python', 'sql')"
541,Data Analyst,42244.8,"  Oklahoma City, OK   ","('sql', 'powerbi')"
570,Data Analyst,37440.0, Anywhere ,"('excel',)"
585,Senior Data Analyst,119600.0, Anywhere ,"('sql',)"
674,"Data Analyst (SQL, WebI, PowerBI)",119600.0, Anywhere ,"('sql', 'powerbi')"
682,Data Integration Developer,171600.0, Anywhere ,"('python', 'sql', 'azure')"
698,Sr. Data Systems Analyst,166400.0, Anywhere ,"('sql',)"
727,Hybrid - Business Analyst (SQL/SSRS),80000.0,"  Conway, AR   ","('sql', 'powerbi', 'tableau', 'azure')"
745,Data analyst/Sales representative(W2 Contract),64480.0,"  Bentonville, AR   ","('excel', 'tableau')"
752,Urgent Role - Data Analyst || Remote,135200.0, Anywhere ,"('sql', 'powerbi', 'aws')"
760,Data Analyst #000066A - Full-time / Part-time,48391.2,"  Jefferson City, MO   ","('sql', 'azure')"
770,Research/Data Analyst-P20W - Full-time / Part-time,48391.2,"  Jefferson City, MO   ","('sql', 'tableau')"
773,Data Analyst & Architect - Business Intelligence - Contract to Hire,29120.0, Anywhere ,"('sql', 'powerbi', 'tableau', 'aws')"
835,Business Intelligence Analyst (Senior Data Analyst),64203.0,Anywhere,"('machine_learning', 'aws')"
836,"Data Analyst, Colorado Solar for All",80000.18,Anywhere,"('powerbi', 'excel', 'tableau')"
837,"Lead Data Analyst, CRM Marketing",160000.0,Anywhere,"('python', 'sql', 'tableau')"
840,Data Analyst -Oracle to Snowflake migration,127500.0,Anywhere,"('sql',)"
931,Data Analyst,100000.0,"Aurora, CO","('sql', 'powerbi', 'azure')"
936,"Data Analyst (Remote in Puerto Rico) - San Juan, PR",47205.6,"Blanding, UT","('sql', 'powerbi', 'excel')"
947,Data Scientist,89440.0,"Centennial, CO","('python', 'sql', 'azure', 'aws')"
951,"Data Analyst, Colorado Solar for All",80000.18,Colorado,"('powerbi', 'excel', 'tableau')"
964,Data Analyst II,79202.215,"Colorado Springs, CO","('sql', 'powerbi')"
1000,Business Data Analyst,97500.0,"Denver, CO","('python', 'sql', 'powerbi')"
1046,LiDAR/Geospatial Analyst,65000.0,"Lakewood, CO","('python',)"
1047,Oracle HRIS Reporting and Data Analyst,91520.0,"Lakewood, CO","('sql', 'powerbi')"
1058,Data Analyst,31200.0,"Northglenn, CO","('sql', 'excel')"
1061,Data Analyst,31200.0,"Parker, CO","('sql', 'excel')"
1062,Lead Data Analyst (Medicare Stars) - Full-time,47205.6,"Rio Rancho, NM","('powerbi', 'excel')"
1066,Data Reporting Analyst - Full-time,29733.6,"Santa Fe, NM","('sql', 'excel', 'tableau')"
1135,Medicaid Data Analyst,89440.0,United States,"('sql',)"
1151,NLP Research Scientist,190000.0,United States,"('python', 'sql', 'azure', 'machine_learning', 'aws')"
1159,"Data Analyst II, Customer Lifecycle",82500.0,Anywhere,"('python', 'sql', 'excel', 'tableau')"
1165,IT Data Analyst II,88500.0,Anywhere,"('sql', 'powerbi', 'azure')"
1246,IT Sr Data Analyst,100000.0,"Boulder, CO","('sql', 'powerbi', 'azure', 'machine_learning')"
1251,"Data Analyst 3 - Loyalty Analytics, Customer Inights - Hybrid - Seattle",108267.0,"Centennial, CO","('python', 'sql', 'powerbi', 'tableau', 'r')"
1284,Data Analyst,68114.28,"Denver, CO","('sql', 'excel', 'tableau')"
1301,Environmental and Water Resources Data Analyst,92500.0,"Glenwood Springs, CO","('python', 'sql', 'r', 'machine_learning')"
1324,Environmental and Water Resources Data Analyst,92500.0,"Meeker, CO","('python', 'sql', 'r', 'machine_learning')"
1327,Lead Cybersecurity Analyst,172000.0,United States,"('python', 'sql', 'machine_learning')"
1359,Business Intelligence Analyst - Full Time,97407.0,United States,"('python', 'sql', 'powerbi', 'excel', 'tableau')"
1375,Inv Analyst,64366.5,"Westminster, CO","('sql', 'powerbi', 'excel')"
1380,Analyst/Statistician,79500.0,Anywhere,"('python', 'sql', 'powerbi', 'tableau', 'r')"
1381,AI Data Analyst,82500.0,Anywhere,"('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
1442,Blockchain Data Analyst - Year-End Stablecoin Wallet Balance Calculation,62400.0,Anywhere,"('python', 'sql')"
1443,"""Unlock Data-Driven Success: Join CuraCall as Our Homecare Data Analyst Expert!"" - Contract to Hire",20800.0,Anywhere,"('python', 'sql', 'powerbi', 'tableau')"
1464,Data Engineer,140400.0,Cherry Creek,"('python', 'sql', 'aws')"
1469,CREDENTIALING ANALYST - MEDICAL STAFF OFFICE,73611.2,"Cheyenne, WY","('excel',)"
1511,Data Analyst Technical Senior - Full-time,47205.6,"Denver, CO","('python', 'sql', 'tableau')"
1561,"Sr Analyst, Healthcare Claims Analytics (SQL, Power BI) - Full-time",89294.4,"Rio Rancho, NM","('sql', 'excel')"
1566,Sr Data Analyst - Procurement,47205.6,"Santa Fe, NM","('tableau',)"
1620,AHD Strategic Data Analyst,77300.0,Anywhere,"('sql', 'excel', 'tableau')"
1689,"Data Analyst - R, Python, Predictive Analytics, Economist - Contract to Hire",83200.0,Anywhere,"('excel',)"
1705,IT Sr Data Analyst,115000.0,"Boulder, CO","('sql', 'powerbi', 'azure', 'machine_learning')"
1719,Decision Scientist - Full-time,25740.0,"Cheyenne, WY","('sql', 'excel')"
1741,Data Analyst,31200.0,"Columbine, CO","('sql', 'excel')"
1742,Data Analyst,31200.0,"Commerce City, CO","('sql', 'excel')"
1743,Data Analyst,31200.0,"Dakota Ridge, CO","('sql', 'excel')"
1765,Junior Data Analyst,70000.0,"Denver, CO","('sql', 'excel', 'tableau')"
