id,habilidad
1,python
1,sql
1,tableau
2,powerbi
2,excel
3,excel
4,sql
5,sql
5,excel
6,sql
7,sql
7,tableau
8,python
8,sql
8,excel
8,tableau
9,sql
9,powerbi
10,sql
11,sql
11,powerbi
12,sql
13,python
13,sql
13,powerbi
13,tableau
14,powerbi
14,excel
15,python
15,r
15,machine_learning
16,sql
16,excel
17,excel
18,sql
18,excel
19,python
19,sql
19,powerbi
19,excel
19,machine_learning
19,aws
20,python
21,powerbi
22,python
22,powerbi
22,excel
22,tableau
22,machine_learning
23,sql
23,tableau
24,sql
25,python
25,sql
25,r
26,python
26,powerbi
26,azure
26,machine_learning
27,sql
27,excel
28,sql
28,powerbi
28,excel
29,python
29,sql
30,sql
30,excel
30,tableau
31,sql
32,excel
33,python
33,sql
33,aws
34,sql
34,powerbi
34,tableau
35,python
35,sql
36,sql
36,powerbi
37,excel
38,sql
39,sql
39,powerbi
40,python
40,sql
40,azure
41,sql
42,sql
42,powerbi
42,tableau
42,azure
43,excel
43,tableau
44,sql
44,powerbi
44,aws
45,sql
45,azure
46,sql
46,tableau
47,sql
47,powerbi
47,tableau
47,aws
48,machine_learning
48,aws
49,powerbi
49,excel
49,tableau
50,python
50,sql
50,tableau
51,sql
52,sql
52,powerbi
52,azure
53,sql
53,powerbi
53,excel
54,python
54,sql
54,azure
54,aws
55,powerbi
55,excel
55,tableau
56,sql
56,powerbi
57,python
57,sql
57,powerbi
58,python
59,sql
59,powerbi
60,sql
60,excel
61,sql
61,excel
62,powerbi
62,excel
63,sql
63,excel
63,tableau
64,sql
65,python
65,sql
65,azure
65,machine_learning
65,aws
66,python
66,sql
66,excel
66,tableau
67,sql
67,powerbi
67,azure
68,sql
68,powerbi
68,azure
68,machine_learning
69,python
69,sql
69,powerbi
69,tableau
69,r
70,sql
70,excel
70,tableau
71,python
71,sql
71,r
71,machine_learning
72,python
72,sql
72,r
72,machine_learning
73,python
73,sql
73,machine_learning
74,python
74,sql
74,powerbi
74,excel
74,tableau
75,sql
75,powerbi
75,excel
76,python
76,sql
76,powerbi
76,tableau
76,r
77,python
77,sql
77,powerbi
77,tableau
77,machine_learning
78,python
78,sql
79,python
79,sql
79,powerbi
79,tableau
80,python
80,sql
80,aws
81,excel
82,python
82,sql
82,tableau
83,sql
83,excel
84,tableau
85,sql
85,excel
85,tableau
86,excel
87,sql
87,powerbi
87,azure
87,machine_learning
88,sql
88,excel
89,sql
89,excel
90,sql
90,excel
91,sql
91,excel
92,sql
92,excel
92,tableau
93,python
93,sql
93,machine_learning
93,aws
94,sql
94,excel
95,sql
95,excel
96,sql
96,excel
97,sql
97,excel
98,sql
98,excel
99,sql
99,excel
100,sql
100,excel
101,python
101,sql
101,powerbi
101,excel
101,tableau
101,machine_learning
102,python
102,sql
102,excel
103,python
103,sql
103,azure
103,r
103,machine_learning
103,aws
104,sql
104,excel
105,sql
105,excel
106,sql
106,excel
107,sql
107,excel
108,sql
108,excel
109,python
109,sql
109,machine_learning
110,sql
110,excel
111,python
111,powerbi
111,tableau
111,r
111,machine_learning
112,sql
112,powerbi
112,excel
112,azure
113,python
113,sql
114,python
114,sql
114,aws
115,sql
115,powerbi
115,excel
115,azure
116,powerbi
116,excel
116,tableau
117,python
117,sql
117,tableau
118,sql
118,powerbi
118,tableau
118,azure
118,aws
119,excel
120,sql
120,powerbi
120,tableau
121,python
121,sql
121,powerbi
121,azure
122,sql
122,powerbi
122,azure
123,sql
123,excel
124,tableau
125,sql
125,excel
126,powerbi
127,excel
128,python
128,sql
128,powerbi
128,excel
128,tableau
129,python
129,sql
129,tableau
130,sql
130,powerbi
130,tableau
131,excel
131,tableau
132,sql
132,powerbi
133,sql
133,azure
134,sql
134,powerbi
134,excel
134,tableau
135,python
135,sql
135,powerbi
135,excel
135,tableau
135,r
135,machine_learning
136,machine_learning
137,excel
138,python
138,machine_learning
138,aws
139,sql
139,powerbi
139,tableau
140,sql
140,powerbi
141,excel
142,python
142,sql
142,powerbi
142,tableau
143,machine_learning
144,machine_learning
145,tableau
146,sql
146,excel
147,python
147,sql
147,excel
147,machine_learning
148,sql
148,tableau
149,sql
149,tableau
150,sql
150,powerbi
150,tableau
150,machine_learning
151,sql
151,tableau
152,python
152,sql
152,azure
152,machine_learning
152,aws
153,excel
154,python
154,azure
155,sql
155,excel
156,excel
157,python
157,sql
157,excel
157,tableau
158,tableau
158,aws
159,python
159,sql
159,powerbi
159,excel
159,machine_learning
160,sql
161,python
161,sql
161,azure
162,python
162,sql
162,powerbi
162,tableau
162,azure
162,machine_learning
163,machine_learning
164,python
164,sql
164,powerbi
164,tableau
165,python
165,sql
165,machine_learning
166,sql
167,sql
167,excel
167,tableau
168,python
168,sql
168,tableau
168,azure
169,python
169,sql
169,powerbi
169,excel
170,python
170,sql
170,tableau
171,excel
171,tableau
172,python
172,sql
172,machine_learning
173,sql
173,excel
174,python
174,sql
174,excel
175,python
175,sql
175,excel
175,machine_learning
175,aws
176,sql
176,azure
177,sql
178,sql
178,machine_learning
179,python
179,sql
180,python
180,sql
180,powerbi
180,excel
180,machine_learning
181,sql
181,excel
182,python
182,sql
182,machine_learning
183,python
183,sql
183,powerbi
183,tableau
183,machine_learning
184,python
184,sql
184,powerbi
185,python
185,sql
185,powerbi
185,tableau
185,azure
185,machine_learning
185,aws
186,sql
186,excel
186,azure
186,machine_learning
186,aws
187,powerbi
187,excel
188,sql
188,tableau
189,python
189,sql
189,powerbi
189,tableau
189,aws
190,python
190,sql
190,powerbi
190,excel
190,tableau
190,machine_learning
191,python
191,sql
191,powerbi
191,tableau
191,azure
192,sql
193,python
193,sql
193,powerbi
193,tableau
193,r
193,machine_learning
194,sql
194,powerbi
195,sql
195,tableau
195,aws
196,excel
197,sql
197,powerbi
197,excel
198,python
198,sql
198,powerbi
198,tableau
199,sql
199,excel
199,machine_learning
200,sql
200,excel
200,tableau
201,sql
201,excel
201,tableau
202,sql
202,excel
202,tableau
203,sql
203,tableau
204,python
204,sql
204,excel
205,sql
205,powerbi
205,tableau
206,sql
206,powerbi
206,excel
207,sql
208,python
208,sql
209,python
209,sql
209,powerbi
209,excel
209,tableau
210,python
210,sql
210,powerbi
210,excel
211,python
211,sql
211,powerbi
211,tableau
212,python
212,sql
212,powerbi
212,tableau
213,python
213,sql
213,powerbi
213,excel
213,tableau
214,python
214,sql
214,excel
215,powerbi
215,tableau
216,sql
216,excel
216,tableau
217,machine_learning
218,sql
218,powerbi
218,excel
218,tableau
219,excel
220,python
220,tableau
221,sql
221,excel
221,tableau
222,python
222,sql
222,powerbi
222,tableau
223,sql
224,powerbi
225,sql
226,excel
227,excel
228,sql
228,excel
229,python
229,machine_learning
230,sql
231,python
231,sql
231,powerbi
232,python
232,sql
232,tableau
232,r
233,python
234,powerbi
234,excel
235,powerbi
236,excel
237,excel
238,python
239,sql
239,powerbi
239,excel
239,tableau
240,python
240,excel
241,python
242,python
242,aws
243,excel
244,python
245,machine_learning
246,python
246,sql
246,excel
246,tableau
246,r
247,sql
247,azure
247,machine_learning
248,python
248,sql
248,powerbi
248,excel
248,tableau
249,sql
250,excel
251,python
251,sql
251,excel
252,python
253,powerbi
253,excel
254,azure
254,aws
255,python
255,sql
255,powerbi
255,excel
256,azure
257,azure
258,powerbi
258,tableau
259,sql
259,powerbi
259,excel
259,tableau
260,powerbi
260,excel
260,tableau
261,python
261,sql
261,powerbi
261,tableau
261,machine_learning
262,python
262,sql
263,powerbi
263,excel
264,python
264,sql
264,azure
264,machine_learning
264,aws
265,python
265,sql
265,aws
266,python
266,sql
266,powerbi
266,tableau
266,machine_learning
267,excel
267,aws
268,sql
268,powerbi
269,python
269,sql
269,excel
269,tableau
270,machine_learning
271,python
271,sql
271,powerbi
271,excel
272,python
272,powerbi
272,excel
273,python
273,sql
274,python
274,sql
274,powerbi
274,excel
274,tableau
274,machine_learning
275,python
275,sql
275,r
275,machine_learning
276,python
276,sql
276,excel
277,excel
278,python
278,sql
278,machine_learning
279,excel
279,tableau
280,python
280,powerbi
280,tableau
280,machine_learning
281,python
281,excel
282,powerbi
282,excel
283,powerbi
283,excel
284,powerbi
284,excel
285,powerbi
285,excel
286,powerbi
286,excel
287,sql
287,powerbi
287,excel
287,r
288,sql
288,azure
289,python
289,sql
289,powerbi
290,sql
290,powerbi
290,excel
290,tableau
291,excel
292,excel
293,excel
294,excel
295,sql
295,powerbi
295,excel
295,r
296,powerbi
296,excel
297,python
297,sql
297,powerbi
297,excel
297,tableau
298,python
298,sql
298,powerbi
299,python
299,sql
299,powerbi
299,tableau
299,aws
300,excel
301,sql
301,tableau
302,sql
302,powerbi
303,python
303,sql
303,powerbi
303,excel
303,tableau
304,python
304,sql
304,powerbi
304,tableau
305,sql
305,powerbi
305,tableau
306,sql
306,powerbi
306,excel
306,azure
306,aws
307,excel
307,tableau
308,sql
308,powerbi
309,tableau
310,powerbi
311,tableau
312,powerbi
312,tableau
313,powerbi
313,excel
314,python
314,sql
314,powerbi
314,tableau
315,excel
316,python
316,sql
316,powerbi
316,tableau
316,machine_learning
316,aws
317,excel
318,sql
318,tableau
319,python
319,sql
319,powerbi
319,tableau
320,excel
321,sql
321,powerbi
321,excel
321,tableau
322,sql
322,powerbi
322,excel
323,python
323,sql
323,powerbi
323,excel
323,tableau
324,python
324,sql
324,powerbi
324,excel
324,tableau
325,python
325,sql
325,powerbi
325,excel
325,tableau
326,python
326,sql
326,powerbi
326,excel
326,tableau
327,python
327,sql
327,powerbi
327,excel
327,tableau
327,r
328,python
328,sql
328,powerbi
328,tableau
329,python
329,sql
329,powerbi
329,tableau
330,python
330,sql
330,powerbi
330,tableau
331,machine_learning
332,python
332,sql
332,powerbi
332,tableau
333,python
333,sql
333,powerbi
333,excel
333,tableau
333,machine_learning
334,python
334,sql
334,powerbi
334,tableau
334,machine_learning
335,powerbi
335,excel
336,excel
337,sql
337,excel
338,powerbi
339,python
339,tableau
339,machine_learning
340,powerbi
340,excel
341,python
341,sql
341,powerbi
341,tableau
341,r
342,python
343,python
343,sql
343,tableau
344,python
344,sql
344,powerbi
344,tableau
344,azure
345,python
345,powerbi
345,tableau
345,machine_learning
346,python
347,python
347,machine_learning
348,sql
348,powerbi
349,python
349,machine_learning
350,python
350,sql
351,machine_learning
352,python
352,sql
352,powerbi
352,excel
352,tableau
353,python
353,sql
353,powerbi
353,excel
353,tableau
354,python
354,sql
354,powerbi
354,excel
354,tableau
355,python
355,sql
355,powerbi
355,excel
355,tableau
356,python
356,sql
356,powerbi
356,excel
356,tableau
357,python
357,sql
357,powerbi
357,excel
357,tableau
358,python
358,sql
358,powerbi
358,machine_learning
359,python
359,sql
359,powerbi
359,tableau
360,sql
361,python
362,excel
363,python
363,excel
363,tableau
364,python
364,sql
365,sql
366,machine_learning
367,excel
368,excel
369,python
369,sql
369,tableau
370,python
370,sql
370,machine_learning
371,sql
372,python
372,sql
372,powerbi
372,tableau
373,powerbi
373,tableau
374,sql
374,excel
374,tableau
375,python
375,sql
375,powerbi
375,excel
376,python
376,sql
376,tableau
377,excel
378,python
378,sql
378,tableau
379,sql
379,excel
380,python
380,sql
380,powerbi
380,excel
381,sql
381,azure
382,sql
383,sql
383,powerbi
383,excel
383,tableau
383,azure
383,aws
384,sql
384,tableau
385,python
385,sql
385,excel
386,python
386,sql
386,excel
386,tableau
387,sql
388,python
388,r
389,powerbi
389,tableau
390,python
390,sql
390,powerbi
390,tableau
391,powerbi
392,python
392,excel
393,sql
393,powerbi
393,tableau
394,powerbi
394,excel
395,sql
395,excel
395,tableau
396,python
396,powerbi
396,tableau
396,machine_learning
397,sql
397,excel
398,python
398,sql
398,powerbi
398,tableau
399,python
399,sql
399,powerbi
399,excel
400,python
400,sql
400,powerbi
400,tableau
400,machine_learning
401,python
401,sql
401,excel
402,python
402,sql
402,excel
403,sql
404,python
404,sql
405,python
405,sql
405,excel
406,python
407,python
407,sql
407,aws
408,python
408,sql
408,powerbi
408,excel
409,python
409,sql
409,powerbi
409,tableau
409,machine_learning
410,python
410,sql
410,machine_learning
411,python
412,python
412,sql
412,machine_learning
413,python
413,azure
413,machine_learning
413,aws
414,python
414,powerbi
414,excel
415,python
415,sql
415,tableau
416,sql
416,excel
417,sql
417,powerbi
417,tableau
418,sql
418,powerbi
418,tableau
418,azure
418,machine_learning
419,python
419,sql
419,powerbi
419,tableau
419,azure
419,aws
420,python
420,sql
420,powerbi
420,tableau
421,tableau
422,sql
422,powerbi
422,excel
422,tableau
423,python
423,azure
423,machine_learning
423,aws
424,python
425,sql
426,python
426,sql
426,excel
427,python
427,powerbi
427,machine_learning
428,python
428,sql
428,powerbi
428,tableau
429,sql
430,sql
430,excel
430,tableau
431,sql
431,excel
431,tableau
432,python
432,machine_learning
433,python
433,sql
433,powerbi
433,tableau
433,machine_learning
434,sql
434,azure
435,python
436,sql
436,tableau
437,excel
438,python
438,sql
439,sql
439,azure
440,python
440,sql
440,powerbi
440,excel
440,tableau
440,azure
441,python
441,sql
441,tableau
441,aws
442,excel
443,python
443,sql
444,sql
444,powerbi
444,tableau
445,python
445,sql
445,powerbi
445,excel
445,tableau
446,sql
446,excel
446,tableau
447,sql
447,excel
448,aws
449,python
449,sql
449,tableau
449,r
449,machine_learning
450,excel
451,excel
452,sql
453,python
453,sql
453,powerbi
453,tableau
454,sql
454,powerbi
454,excel
454,tableau
455,sql
455,powerbi
455,excel
456,sql
456,powerbi
456,excel
457,machine_learning
458,python
458,sql
458,powerbi
458,tableau
459,excel
460,sql
461,powerbi
461,tableau
462,sql
462,powerbi
462,azure
463,python
463,sql
463,tableau
464,excel
464,tableau
465,python
465,sql
466,python
466,sql
466,aws
467,sql
467,excel
467,machine_learning
468,excel
469,python
469,tableau
469,r
469,aws
470,sql
470,powerbi
471,python
471,sql
472,sql
472,powerbi
472,excel
472,tableau
473,powerbi
474,python
474,sql
474,tableau
475,python
475,sql
475,powerbi
475,tableau
476,python
476,sql
476,azure
476,aws
477,python
477,powerbi
477,excel
477,tableau
478,python
478,sql
478,powerbi
478,tableau
479,python
479,machine_learning
480,python
481,python
481,sql
481,powerbi
481,tableau
481,machine_learning
482,sql
483,python
483,sql
483,tableau
484,python
484,sql
484,tableau
485,sql
486,sql
486,powerbi
486,excel
487,sql
487,azure
487,aws
488,python
488,sql
488,powerbi
488,tableau
488,r
489,python
489,sql
489,powerbi
490,excel
491,sql
491,tableau
492,sql
492,excel
493,sql
493,powerbi
493,tableau
494,machine_learning
495,python
495,sql
495,tableau
496,python
496,sql
496,powerbi
496,azure
496,machine_learning
497,python
497,sql
497,powerbi
497,tableau
498,sql
498,powerbi
498,tableau
498,azure
499,sql
499,powerbi
499,tableau
499,azure
500,sql
500,powerbi
501,powerbi
501,azure
502,python
502,r
503,sql
503,excel
503,tableau
504,powerbi
504,excel
504,tableau
505,sql
505,powerbi
506,machine_learning
507,aws
508,sql
508,powerbi
508,tableau
508,machine_learning
509,python
509,powerbi
509,tableau
510,sql
510,powerbi
510,excel
510,tableau
511,python
511,sql
511,tableau
512,python
512,sql
512,tableau
512,azure
512,aws
513,python
513,sql
513,tableau
514,sql
514,tableau
515,python
515,machine_learning
516,excel
517,sql
517,powerbi
517,azure
518,sql
518,powerbi
518,tableau
518,machine_learning
519,powerbi
520,python
520,sql
520,powerbi
520,tableau
521,python
521,aws
522,sql
522,excel
522,tableau
523,python
523,sql
523,powerbi
523,tableau
524,sql
525,sql
525,powerbi
525,excel
525,tableau
526,sql
526,tableau
526,aws
527,sql
527,powerbi
527,tableau
528,sql
529,sql
529,powerbi
529,excel
529,tableau
529,azure
529,machine_learning
530,python
530,sql
530,azure
530,machine_learning
530,aws
531,sql
531,powerbi
531,excel
531,tableau
532,python
532,sql
532,powerbi
532,tableau
532,azure
533,python
533,sql
533,excel
533,tableau
534,sql
534,tableau
535,python
535,sql
535,tableau
535,azure
535,machine_learning
535,aws
536,python
536,sql
536,aws
537,sql
537,excel
538,excel
539,python
539,sql
539,excel
540,powerbi
540,excel
540,tableau
541,python
541,sql
